epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,740.1,0.8128,1.42907,1.13636,0.92826,0.95854,0.9806,0.85893,0.52529,1.66561,0.84672,0.0007724,0.0007724,0.0007724
33,758.698,0.75085,1.17226,0.938,1,0.88796,0.983,0.90822,0.4653,1.50634,0.83053,0.0007328,0.0007328,0.0007328
34,778.062,0.65913,1.4098,0.93781,1,0.88796,0.983,0.90822,0.4653,1.50634,0.83053,0.0006932,0.0006932,0.0006932
35,809.034,0.7701,1.17275,1.04454,0.85531,0.87607,0.93375,0.84751,0.4677,1.54068,0.82691,0.0006536,0.0006536,0.0006536
36,839.811,0.76865,1.36114,1.0326,0.85531,0.87607,0.93375,0.84751,0.4677,1.54068,0.82691,0.000614,0.000614,0.000614
37,871.246,0.6627,1.24701,0.94719,0.65166,0.85185,0.83956,0.74083,0.4661,1.75573,0.82935,0.0005744,0.0005744,0.0005744
38,901.872,0.56453,1.2589,0.85298,0.65166,0.85185,0.83956,0.74083,0.4661,1.75573,0.82935,0.0005348,0.0005348,0.0005348
39,932.145,0.61754,1.12199,0.93552,0.76896,0.85185,0.90753,0.81649,0.45269,1.59181,0.82483,0.0004952,0.0004952,0.0004952
40,965.488,0.52961,1.09282,0.90885,0.76896,0.85185,0.90753,0.81649,0.45269,1.59181,0.82483,0.0004556,0.0004556,0.0004556
41,986.663,0.53587,1.44062,0.80997,0.88676,1,0.98384,0.89508,0.42242,1.32574,0.81258,0.000416,0.000416,0.000416
42,1003.74,0.495,1.28417,0.84576,0.88676,1,0.98384,0.89508,0.42242,1.32574,0.81258,0.0003764,0.0003764,0.0003764
43,1021.25,0.5088,1.28882,0.82831,0.99606,1,0.995,0.9171,0.40532,1.22191,0.80867,0.0003368,0.0003368,0.0003368
44,1038.68,0.49564,1.38082,0.82076,0.99606,1,0.995,0.9171,0.40532,1.22191,0.80867,0.0002972,0.0002972,0.0002972
45,1055.97,0.46994,1.28994,0.84877,0.99781,1,0.995,0.92837,0.37558,1.18859,0.79934,0.0002576,0.0002576,0.0002576
46,1073.27,0.46446,1.2299,0.80188,0.99781,1,0.995,0.92837,0.37558,1.18859,0.79934,0.000218,0.000218,0.000218
47,1089.85,0.45512,1.31311,0.80621,0.9981,1,0.995,0.94124,0.36004,1.18343,0.79263,0.0001784,0.0001784,0.0001784
48,1107.69,0.40651,1.35393,0.8552,0.9981,1,0.995,0.94124,0.36004,1.18343,0.79263,0.0001388,0.0001388,0.0001388
49,1124.19,0.49717,1.33201,0.86241,0.99817,1,0.995,0.94587,0.35344,1.17017,0.79062,9.92e-05,9.92e-05,9.92e-05
50,1141.15,0.4349,1.27412,0.84667,0.99817,1,0.995,0.94587,0.35344,1.17017,0.79062,5.96e-05,5.96e-05,5.96e-05
